#id arrival runtime priority
1	9	2	10
2	19	26	8
3	24	2	10
4	33	29	2
5	37	10	5
6	43	24	8
7	47	10	0
8	50	17	4
9	52	9	2
10	57	0	6
11	63	28	6
12	69	9	3
13	70	1	9
14	71	17	1
15	74	23	0
16	80	15	0
17	83	27	8
18	85	6	0
19	89	22	9
20	94	3	4
21	94	9	8
22	100	15	10
23	107	4	7
24	112	22	0
25	117	23	4
26	122	17	4
27	125	27	7
28	125	1	3
29	134	2	1
30	142	23	0
31	143	17	8
32	150	2	6
33	155	10	8
34	165	29	9
35	173	13	0
36	174	2	8
37	179	27	5
38	181	24	3
39	186	8	6
40	191	6	1
41	196	24	7
42	196	1	8
43	203	5	1
44	207	0	2
45	208	25	5
46	209	29	3
47	217	13	3
48	219	3	1
49	224	27	8
50	225	26	2
51	225	17	3
52	233	16	10
53	236	24	2
54	241	23	2
55	248	4	10
56	249	4	7
57	252	19	0
58	258	0	4
59	265	17	2
60	269	25	6
61	273	17	0
62	279	11	7
63	284	1	9
64	290	18	0
65	296	10	5
66	300	12	9
67	300	27	9
68	300	6	10
69	302	11	4
70	306	5	10
71	314	23	4
72	322	1	5
73	325	14	10
74	335	6	9
75	345	7	2
76	349	27	6
77	349	21	10
78	358	16	10
79	365	15	5
80	365	8	1
81	374	20	2
82	374	18	6
83	379	23	3
84	384	16	6
85	385	12	3
86	389	7	1
87	397	13	2
88	404	5	9
89	410	12	8
90	411	29	9
91	411	28	7
92	413	4	1
93	420	21	9
94	428	3	5
95	432	6	0
96	437	3	8
97	443	14	4
98	449	29	7
99	452	23	6
100	461	1	3
101	468	28	8
102	471	28	3
103	476	26	2
104	479	6	4
105	486	25	10
106	493	23	6
107	496	27	9
108	501	0	10
109	502	23	4
110	507	0	0
111	513	21	5
112	516	8	10
113	521	18	1
114	528	28	9
115	529	1	10
116	538	1	3
117	540	6	9
118	540	29	2
119	548	29	5
120	550	26	8
121	550	26	5
122	553	12	6
123	555	4	9
124	556	23	3
125	564	25	6
126	571	17	2
127	579	2	0
128	586	26	4
129	593	26	4
130	595	11	10
131	603	12	0
132	606	27	4
133	613	9	3
134	618	13	7
135	625	17	10
136	627	6	9
137	629	5	10
138	632	18	10
139	637	21	8
140	646	16	3
141	654	25	10
142	662	8	6
143	664	4	3
144	667	15	2
145	675	10	7
146	682	12	8
147	687	21	5
148	689	15	7
149	691	7	4
150	699	13	0
151	699	4	5
152	707	24	0
153	709	8	2
154	714	21	6
155	719	26	7
156	720	2	7
157	728	26	1
158	730	10	6
159	738	11	6
160	739	17	2
161	749	2	4
162	754	7	4
163	759	1	6
164	765	15	7
165	775	23	5
166	781	6	10
167	782	7	7
168	784	23	7
169	790	13	6
170	791	12	5
171	792	7	0
172	798	14	1
173	808	27	7
174	812	27	5
175	821	7	8
176	825	0	2
177	828	17	2
178	837	12	5
179	842	0	2
180	842	12	1
181	845	29	8
182	846	11	9
183	849	12	2
184	857	9	0
185	859	7	7
186	867	3	8
187	867	21	1
188	867	4	3
189	872	15	3
190	880	5	0
191	887	23	9
192	891	15	3
193	891	28	5
194	891	3	9
195	891	29	0
196	899	10	9
197	902	3	6
198	907	15	1
199	913	11	1
200	922	17	10
201	931	24	10
202	937	23	1
203	946	28	3
204	947	6	1
205	957	0	0
206	967	16	8
207	973	16	1
208	983	10	8
209	983	10	7
210	984	7	3
211	994	15	4
212	1003	24	9
213	1011	16	10
214	1021	17	2
215	1021	22	4
216	1030	14	10
217	1035	28	0
218	1041	23	1
219	1042	27	0
220	1048	15	7
221	1057	24	8
222	1057	17	6
223	1066	8	0
224	1074	11	6
225	1083	7	9
226	1083	26	9
227	1083	1	5
228	1092	11	1
229	1102	19	6
230	1111	12	10
231	1116	1	3
232	1116	8	3
233	1122	28	9
234	1126	11	2
235	1136	25	5
236	1142	18	7
237	1146	19	1
238	1154	23	0
239	1163	24	9
240	1165	11	4
241	1175	13	7
242	1175	15	0
243	1178	3	0
244	1178	23	6
245	1180	2	0
246	1187	28	3
247	1189	12	4
248	1190	25	3
249	1200	1	1
250	1208	19	7
251	1208	4	6
252	1215	4	4
253	1220	4	7
254	1223	6	4
255	1231	29	8
256	1237	5	8
257	1246	19	10
258	1246	12	9
259	1249	27	4
260	1253	5	10
261	1262	28	4
262	1267	29	10
263	1274	15	7
264	1277	16	3
265	1284	18	0
266	1287	3	4
267	1296	3	6
268	1302	7	9
269	1306	0	10
270	1312	28	9
271	1317	14	5
272	1324	22	9
273	1331	8	6
274	1334	5	4
275	1340	0	10
276	1346	16	9
277	1354	0	6
278	1357	8	3
279	1357	27	1
280	1367	28	3
281	1375	14	2
282	1378	19	6
283	1388	10	4
284	1391	5	6
285	1398	27	2
286	1402	20	1
287	1404	29	7
288	1412	25	10
289	1421	0	2
290	1431	25	2
291	1432	22	3
292	1435	21	0
293	1443	27	7
294	1444	10	3
295	1449	10	4
296	1456	5	1
297	1464	0	4
298	1468	18	8
299	1469	16	2
300	1472	6	6
301	1475	26	5
302	1479	14	6
303	1484	29	6
304	1494	3	9
305	1496	3	7
306	1501	11	10
307	1505	1	4
308	1513	7	6
309	1518	9	5
310	1523	10	4
311	1523	16	3
312	1529	17	2
313	1530	26	9
314	1535	15	7
315	1538	20	8
316	1547	7	5
317	1555	19	9
318	1556	17	5
319	1563	26	2
320	1565	10	0
321	1569	22	2
322	1574	18	7
323	1582	19	5
324	1588	14	5
325	1588	0	3
326	1594	14	6
327	1604	18	2
328	1612	26	4
329	1612	18	0
330	1614	11	0
331	1615	11	1
332	1616	7	5
333	1624	12	0
334	1627	9	8
335	1633	11	7
336	1640	3	4
337	1642	28	7
338	1644	19	0
339	1650	12	1
340	1654	10	10
341	1659	22	4
342	1663	26	1
343	1672	3	6
344	1681	16	6
345	1686	27	7
346	1696	4	2
347	1698	28	6
348	1707	20	8
349	1717	5	9
350	1726	15	10
351	1734	17	3
352	1744	9	6
353	1744	10	7
354	1750	0	9
355	1752	25	4
356	1759	25	6
357	1766	5	10
358	1769	5	3
359	1778	22	0
360	1783	14	2
361	1787	7	6
362	1792	19	4
363	1793	13	0
364	1799	7	3
365	1802	26	1
366	1809	21	7
367	1812	24	4
368	1812	19	10
369	1814	25	1
370	1816	23	2
371	1818	17	8
372	1825	19	3
373	1834	19	9
374	1841	20	8
375	1851	29	10
376	1860	21	4
377	1865	7	5
378	1872	23	10
379	1879	20	0
380	1887	25	4
381	1895	25	4
382	1899	28	8
383	1906	14	10
384	1909	29	6
385	1909	29	5
386	1917	17	1
387	1918	24	8
388	1925	19	3
389	1929	28	2
390	1931	14	0
391	1937	13	0
392	1946	3	3
393	1952	17	6
394	1955	16	3
395	1965	0	8
396	1967	8	10
397	1970	19	7
398	1980	2	9
399	1980	7	7
400	1983	7	9
401	1984	9	8
402	1985	9	10
403	1989	10	7
404	1997	24	8
405	2006	18	7
406	2010	5	3
407	2012	8	10
408	2021	3	0
409	2026	13	5
410	2027	21	10
411	2037	22	9
412	2042	3	7
413	2046	22	8
414	2047	25	1
415	2054	19	2
416	2055	10	5
417	2057	22	1
418	2059	12	3
419	2061	29	8
420	2067	3	0
421	2070	8	7
422	2071	27	10
423	2078	19	7
424	2082	8	9
425	2085	3	8
426	2090	4	9
427	2100	3	3
428	2110	6	2
429	2110	21	6
430	2116	24	0
431	2123	22	0
432	2124	10	5
433	2124	4	2
